time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.34765625,129
5.84375,129
6.3359375,129
6.8359375,129
7.33203125,129
7.84375,129
8.359375,129
8.859375,1
9.37890625,1
9.89453125,1
10.4765625,1
11.1640625,129
11.92578125,129
12.70703125,129
13.4765625,129
14.234375,129
15.02734375,129
15.78515625,129
16.5078125,1
17.20703125,1
17.90234375,1
18.59375,1
19.25390625,1
19.89453125,1
20.515625,1
21.12890625,1
21.71484375,1
22.296875,1
22.87109375,1
23.4453125,1
24.0078125,0
24.5546875,0
25.09765625,0
25.6484375,0
26.19140625,0
26.71875,0
27.265625,0
27.8515625,0
28.51953125,0
29.30078125,128
30.1640625,128
31.02734375,128
31.859375,128
32.6484375,128
33.39453125,128
34.06640625,0
34.671875,0
35.26171875,0
35.83984375,0
36.40625,0
36.9609375,0
37.50390625,0
38.04296875,0
38.58203125,0
39.14453125,0
39.71484375,0
40.28515625,0
40.859375,0
41.44921875,0
42.0546875,0
42.6640625,0
43.26171875,0
43.8515625,0
44.44921875,0
45.05859375,0
45.66015625,0
46.25390625,0
46.83984375,0
47.43359375,0
48.0234375,0
48.61328125,0
49.19140625,0
49.7734375,0
50.34765625,0
50.92578125,0
51.49609375,0
52.0546875,0
52.60546875,0
53.15625,0
53.703125,0
54.234375,0
54.76171875,0
55.28125,0
55.8046875,0
56.33203125,0
56.8828125,0
57.4296875,0
57.984375,0
58.578125,0
59.1796875,0
59.75390625,0
60.42578125,1
61.05078125,1
61.6484375,1
62.23828125,1
62.83203125,1
63.41015625,1
63.95703125,1
64.515625,1
65.05859375,1
65.59375,1
66.11328125,1
66.625,1
67.1328125,1
67.63671875,1
68.140625,1
68.640625,1
69.12890625,1
69.62890625,1
70.1328125,1
70.64453125,1
71.1640625,1
71.68359375,1
72.1953125,0
72.703125,0
73.2109375,0
73.71875,0
74.2265625,0
74.734375,0
75.24609375,0
75.7734375,0
76.3046875,0
76.84765625,0
77.65625,128
78.53515625,129
79.11328125,1
79.69921875,1
80.28125,1
80.859375,1
81.4375,1
82.0234375,1
82.60546875,1
83.18359375,1
83.74609375,1
84.30078125,1
84.84765625,1
85.390625,1
85.93359375,1
86.4765625,1
87.01953125,1
87.5703125,1
88.12890625,1
88.68359375,1
89.23828125,1
89.78515625,1
90.328125,1
90.859375,1
91.390625,1
91.91015625,1
92.421875,1
92.92578125,1
93.421875,1
93.91015625,1
94.40625,1
94.90625,1
95.43359375,1
