time [s],expiration [NA](/api/datatype/35/)
2323.5625,23421
2326.15625,23407
2328.765625,23400
2331.1015625,23391
2333.7578125,23396
2336.8359375,23376
2340.15625,23383
2343.09375,23385
2346.03125,23383
2348.8125,23384
2351.7421875,23381
2354.78125,23383
2357.484375,23384
2361.28125,23374
2363.9375,23376
2366.8046875,23368
2369.3359375,23371
2371.8359375,23375
2374.6484375,23383
2380.109375,23425
2383.1015625,23429
2385.875,23423
2388.328125,23422
2390.671875,23417
2393.4765625,23423
2396.2890625,23424
2401.796875,23419
2403.9453125,23428
2406.8359375,23423
2410.125,23424
2412.8984375,23424
2415.8046875,23424
2420.625,23429
2423.609375,23431
2428.046875,23427
2435.3203125,23403
2438.140625,23427
2440.9140625,23424
2445.6328125,23424
2447.75,23440
2450.4765625,23439
2452.9453125,23440
2456.421875,23417
2463.4296875,23419
2465.890625,23426
2471.078125,23428
2475.2578125,23292
2480.3359375,23428
2484.140625,23431
2487.1484375,23428
2490.296875,23430
2493.2734375,23427
2495.734375,23432
2501.125,23436
2505.0390625,23426
2507.1171875,23434
2509.28125,23449
2511.5234375,23437
2515.25,23442
2519.015625,23439
2522.078125,23433
2526.0390625,23440
2529.359375,23442
2532.3203125,23443
2536.703125,23424
2539.546875,23423
2542.5625,23418
2548.7890625,23418
2551.25,23416
2553.5546875,23429
2556.6015625,23426
2559.5078125,23429
2562.6796875,23435
2565.2109375,23428
2568.984375,23428
2572.3125,23427
2574.65625,23410
2577.703125,23450
2578.984375,23419
2581.9609375,23431
2583.96875,23440
2587.2421875,23408
2591.125,23413
2593.1953125,23408
2595.3359375,23404
2598.6640625,23416
2602.6875,23431
2605.9375,23414
2607.9375,23412
2610.578125,23304
2618.8984375,23415
2622.8671875,23422
2625.0,23419
2627.4921875,23416
2629.8125,23420
2633.0546875,23426
2635.1171875,23424
2637.703125,23421
2640.484375,23436
2643.828125,23390
2649.1015625,23429
2651.2890625,23418
2653.421875,23424
2654.8046875,23433
2656.90625,23410
2658.6875,23409
2662.9375,23423
2665.5546875,23424
2668.8203125,23422
2672.0703125,23393
2674.53125,23433
2678.90625,23424
2681.0859375,23431
2683.4609375,23431
2685.96875,23429
2688.5234375,23428
2691.046875,23428
2693.53125,23430
2696.2421875,23436
2699.0390625,23429
2703.5,23435
2706.3125,23439
2708.765625,23433
2711.3203125,23430
2713.7421875,23434
2716.0859375,23445
2720.953125,23439
2723.7109375,23442
2726.515625,23442
2729.4921875,23443
2732.46875,23440
2735.171875,23433
2737.921875,23440
2740.375,23443
2744.2578125,23435
2746.9140625,23434
2749.7890625,23435
2752.359375,23439
2755.140625,23441
2758.4375,23438
2761.2890625,23436
2763.9296875,23437
2766.875,23436
2772.515625,23434
2774.890625,23434
2777.3203125,23432
2779.7578125,23433
2782.234375,23433
2785.109375,23432
2787.6328125,23437
2790.375,23440
2793.4375,23441
2796.859375,23441
2801.9296875,23441
2804.1875,23440
2807.421875,23439
2810.15625,23437
2813.03125,23437
2815.8125,23434
2818.6953125,23437
2821.53125,23435
2823.9609375,23442
2829.328125,23440
2832.328125,23436
2835.078125,23441
2837.703125,23444
2839.875,23441
2842.15625,23442
2844.359375,23452
2846.453125,23446
2848.765625,23448
2851.1328125,23452
2853.5234375,23446
2855.96875,23445
2858.2421875,23444
2860.6171875,23441
2863.3671875,23445
2865.890625,23440
2868.296875,23444
2870.8984375,23441
2874.3203125,23430
2876.671875,23449
2879.53125,23446
2882.171875,23440
2884.734375,23445
2887.59375,23443
2890.3046875,23447
2894.5859375,23448
2898.5234375,23449
2903.296875,23440
2905.8203125,23437
2908.3828125,23433
2911.390625,23438
2914.0625,23442
2917.40625,23440
2919.4609375,23435
2923.9375,23443
2926.7734375,23439
2928.609375,23438
2931.8515625,23448
2934.1640625,23423
2936.2265625,23433
2939.265625,23461
2943.03125,23488
2946.0546875,23462
2948.140625,23457
2951.21875,23445
2953.7109375,23442
2956.2421875,23441
2958.9609375,23435
2960.90625,23431
2963.4375,23431
2966.7109375,23427
2968.0859375,23429
2970.2109375,23411
2972.2421875,23391
2977.78125,23241
2985.875,23430
2991.625,23409
2996.5546875,23414
2999.5546875,23415
3003.4296875,23411
3006.359375,23419
3009.40625,23420
3013.1875,23409
3015.4375,23409
3018.5625,23407
3021.4453125,23407
3024.1328125,23410
3026.453125,23401
3029.828125,23413
3032.46875,23413
3036.140625,23319
3044.140625,23413
3049.8203125,23416
3053.9296875,23419
3057.2734375,23358
3060.2109375,23398
3065.84375,23427
3071.7734375,23412
3075.3203125,23413
3078.203125,23418
3081.609375,23409
3088.0625,23401
3093.1484375,23405
3097.8828125,23411
3102.2421875,23348
3110.6484375,23409
3122.84375,23243
3130.1640625,23375
3141.1640625,23407
3147.7265625,23406
3151.265625,23414
3154.4140625,23415
3157.3671875,23403
3160.625,23399
3163.9765625,23402
3167.625,23397
3170.703125,23400
3173.6484375,23403
3176.59375,23400
3179.5859375,23406
3182.765625,23399
3185.7109375,23405
3188.4296875,23403
3191.0078125,23403
3194.234375,23393
3197.390625,23401
3199.9453125,23401
3205.5546875,23408
3208.5625,23404
3211.203125,23440
3213.328125,23435
3215.6640625,23439
3217.8828125,23429
3220.9609375,23428
3223.6015625,23424
3226.03125,23426
3228.828125,23424
3231.453125,23425
3234.1953125,23425
3237.9140625,23429
3240.921875,23427
3243.390625,23431
3245.9921875,23434
3248.96875,23435
3252.640625,23440
3254.71875,23437
3257.0390625,23439
3260.234375,23438
3262.140625,23431
3263.5625,23432
3266.53125,23450
3272.2109375,23446
3275.7265625,23454
3277.9453125,23441
3280.765625,23435
3283.6015625,23445
3285.5703125,23463
3287.90625,23449
3291.8046875,23441
3294.1796875,23449
3297.1328125,23427
3299.7578125,23436
3304.34375,23399
3306.8984375,23465
3308.828125,23431
3312.4140625,23432
3316.90625,23436
3319.3671875,23438
3321.9453125,23433
3324.0546875,23448
3326.0,23430
3328.703125,23467
3330.9375,23492
3332.65625,23492
3335.5625,23480
3338.1328125,23485
3340.2890625,23480
3343.734375,23375
3346.6015625,23438
3348.9375,23410
3351.796875,23447
3354.9296875,23448
3357.3359375,23439
3359.8828125,23436
3363.0859375,23355
3365.7890625,23417
3368.1875,23430
3371.109375,23432
3373.828125,23429
3376.71875,23432
3379.7265625,23433
3382.4765625,23429
3385.15625,23433
3388.1015625,23429
3392.3046875,23277
3407.1015625,23423
3411.046875,23418
3414.1171875,23422
3416.828125,23437
3419.921875,23435
3423.1328125,23423
3426.3046875,23426
3429.1171875,23424
3431.9765625,23429
3435.0859375,23430
3438.046875,23431
3440.8359375,23429
3443.4765625,23431
3445.8359375,23431
3449.046875,23428
3453.7734375,23432
3457.109375,23427
3459.78125,23430
3462.75,23428
3465.546875,23425
3468.1484375,23428
3470.8359375,23427
3473.375,23428
3475.8671875,23417
3479.015625,23420
3481.4609375,23416
3484.3046875,23416
3487.3203125,23418
3489.78125,23421
3492.3671875,23418
3496.40625,23448
3499.734375,23439
3502.2734375,23432
3505.25,23430
3507.7109375,23430
3510.3671875,23428
3513.109375,23428
3517.5078125,23438
3520.6796875,23430
3525.59375,23442
3528.3046875,23440
3530.96875,23440
3533.546875,23441
3536.0703125,23434
3538.859375,23435
3541.3828125,23433
3544.2265625,23439
3547.1328125,23436
3550.6953125,23440
3553.7890625,23432
3556.046875,23441
3558.84375,23437
3561.5078125,23441
