time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.09375,129
5.5703125,129
6.05078125,129
6.53125,129
7.0078125,129
7.48046875,129
7.94921875,129
8.42578125,1
8.8984375,1
9.3984375,1
9.9765625,1
10.671875,129
11.35546875,129
11.98828125,129
12.41015625,1
13.15625,129
13.72265625,1
14.27734375,1
14.84375,1
15.4296875,1
16.03125,1
16.609375,1
17.17578125,1
17.984375,129
18.3125,129
18.8671875,1
19.41796875,1
19.9609375,1
20.51953125,1
21.07421875,1
21.62890625,1
22.17578125,1
22.71484375,1
23.26953125,1
23.8359375,1
24.40625,0
24.96875,0
25.53515625,0
26.109375,0
26.69921875,0
27.27734375,0
27.84765625,0
28.4140625,0
28.9765625,0
29.53515625,0
30.0859375,0
30.63671875,0
31.1875,0
31.73828125,0
32.2890625,1
32.84375,1
33.390625,1
33.94140625,1
34.48046875,1
35.01171875,1
35.52734375,1
36.03125,1
36.52734375,1
37.01953125,1
37.5,1
37.9765625,1
38.453125,1
38.92578125,1
39.3984375,1
39.8671875,1
40.3359375,1
40.8125,1
41.29296875,1
41.80078125,1
42.33203125,1
42.859375,1
43.38671875,1
43.9140625,1
44.453125,1
45.01171875,1
45.546875,1
46.08984375,1
46.6171875,1
47.1484375,1
47.65625,1
48.171875,1
48.66796875,1
49.16015625,1
49.65234375,1
50.140625,1
50.62109375,1
51.09375,1
51.56640625,1
52.03515625,1
52.5,1
52.96484375,1
53.58984375,129
54.1953125,1
54.70703125,1
55.27734375,1
55.609375,129
56.07421875,1
56.57421875,1
56.92578125,129
57.38671875,1
58.08203125,129
58.58203125,1
58.98828125,1
59.3203125,129
60.08984375,129
60.453125,1
61.05078125,1
61.59375,1
62.1328125,1
62.66015625,1
63.17578125,1
63.71484375,1
63.98828125,129
64.30859375,129
64.83203125,1
65.41796875,1
66.01171875,1
66.609375,1
67.7890625,129
68.359375,1
68.91796875,1
69.48046875,1
70.00390625,1
70.53515625,1
71.0546875,1
71.55078125,1
72.0390625,1
72.47265625,1
73.015625,1
73.51953125,1
74.015625,1
74.515625,1
75.0234375,1
75.31640625,129
75.62109375,129
76.2421875,129
76.57421875,129
76.84765625,129
77.453125,1
78.02734375,1
78.66015625,129
79.22265625,1
79.78515625,1
80.3515625,1
80.91015625,1
81.46875,1
81.91015625,129
82.1796875,129
82.8515625,1
83.40625,1
84.05859375,1
84.5234375,129
85.00390625,1
85.4765625,1
85.9453125,129
86.42578125,1
86.84765625,129
87.328125,1
87.78125,1
88.33203125,129
88.68359375,129
89.125,1
89.57421875,1
90.01953125,1
90.453125,1
90.890625,1
91.2890625,1
91.7734375,1
92.23046875,1
92.69140625,1
93.171875,1
93.78125,129
94.19921875,1
95.0703125,129
95.67578125,129
96.36328125,129
97.07421875,129
97.74609375,129
98.3359375,129
98.875,129
99.26953125,1
99.6953125,1
100.2265625,1
100.68359375,1
100.99609375,129
101.5390625,1
102.05078125,1
102.5546875,1
103.0859375,1
103.65625,1
104.21484375,1
104.76953125,1
105.31640625,1
105.85546875,1
106.37890625,1
106.890625,1
107.39453125,1
107.88671875,1
108.3828125,1
108.86328125,1
109.34375,1
109.8203125,1
110.29296875,1
110.76953125,1
111.23828125,1
111.69921875,1
112.171875,1
112.625,1
113.09765625,1
113.53515625,1
113.97265625,1
114.41796875,1
114.86328125,1
115.30859375,1
115.74609375,1
116.1875,1
116.62890625,1
117.07421875,1
117.51171875,1
117.91015625,1
118.36328125,1
118.8125,1
119.265625,1
119.921875,129
120.765625,129
121.41796875,129
121.875,1
122.85546875,129
123.109375,129
123.40625,129
123.94140625,1
124.48828125,129
125.05078125,129
125.5546875,1
126.12890625,129
126.6484375,1
127.16015625,1
127.65625,1
128.16796875,1
128.609375,1
129.140625,1
129.6171875,1
130.1015625,1
130.6015625,1
131.04296875,1
131.51953125,1
131.98828125,1
132.3984375,129
132.8046875,129
133.4140625,1
133.89453125,1
134.50390625,1
135.0078125,1
135.32421875,129
135.71875,129
136.23828125,1
136.7421875,1
137.58203125,129
138.1171875,1
138.59765625,1
139.09375,1
139.62109375,1
140.2265625,1
140.90625,129
141.6484375,129
142.17578125,1
142.71484375,1
143.28125,1
143.8125,1
144.32421875,1
144.83203125,1
145.3203125,1
145.8203125,1
146.32421875,1
146.82421875,1
147.328125,1
147.83203125,1
148.328125,1
148.83203125,1
149.33203125,1
149.83203125,1
150.30859375,1
150.7890625,1
151.26953125,1
151.74609375,1
152.2265625,1
152.7265625,1
153.2109375,1
153.70703125,1
154.2109375,1
154.734375,1
155.2578125,1
155.8046875,1
156.23828125,1
156.87890625,129
157.4375,1
157.9453125,1
158.41015625,1
158.8828125,1
159.36328125,1
159.8359375,1
160.30859375,1
160.77734375,1
161.2578125,1
161.74609375,1
162.265625,1
162.84375,1
163.44140625,1
164.015625,1
164.5859375,1
165.171875,1
165.77734375,1
166.3671875,1
166.96484375,1
167.59375,1
168.20703125,1
168.80859375,1
169.3984375,1
169.98828125,1
170.5625,1
171.125,1
171.68359375,1
172.265625,1
172.828125,1
173.39453125,1
173.9765625,1
174.5625,1
175.13671875,1
175.73046875,1
176.3203125,1
176.87890625,1
177.42578125,1
177.9609375,1
178.50390625,1
179.0390625,1
179.578125,1
180.11328125,1
180.65234375,1
181.1953125,1
181.734375,1
182.265625,1
182.796875,1
183.328125,1
183.85546875,1
184.37890625,1
184.90625,1
185.42578125,1
185.94921875,1
186.453125,1
186.9609375,1
187.46484375,1
187.97265625,1
188.48828125,1
189.00390625,1
189.5234375,1
190.04296875,1
190.56640625,1
191.07421875,1
191.58984375,1
192.07421875,1
192.55859375,1
193.0390625,1
193.51171875,1
193.98046875,1
194.453125,1
194.9375,1
195.4296875,1
195.9296875,1
196.44140625,1
196.97265625,1
197.4921875,1
198.0078125,1
198.5234375,1
199.0390625,1
199.5625,1
200.08203125,1
200.58203125,1
201.10546875,1
201.6171875,1
202.19140625,1
202.7421875,1
203.2890625,1
203.84765625,1
204.40625,1
204.96484375,1
205.50390625,1
206.03515625,1
206.296875,129
206.59765625,129
207.140625,1
207.796875,1
209.25,129
210.2734375,129
210.7578125,1
211.30078125,1
211.59375,129
211.8671875,129
212.30859375,129
212.70703125,129
213.453125,129
213.984375,1
214.53515625,1
215.078125,1
215.62109375,1
216.15625,1
216.6796875,1
217.21484375,1
217.73828125,1
218.296875,1
218.9609375,1
219.7578125,129
220.4609375,129
220.8125,129
221.19921875,129
221.9375,129
222.328125,129
222.640625,129
223.24609375,1
223.8515625,1
224.45703125,1
225.015625,1
225.5546875,1
226.0703125,0
226.58984375,0
227.09375,0
227.5859375,0
228.0703125,0
228.546875,0
229.0234375,0
229.4921875,0
229.95703125,0
230.42578125,0
230.89453125,0
231.359375,0
231.828125,0
232.3046875,0
232.7734375,0
233.25390625,0
233.734375,0
234.21875,1
234.7109375,1
235.19921875,1
235.703125,1
236.2109375,1
236.73046875,1
237.25390625,1
237.78125,1
238.31640625,1
238.8515625,1
239.38671875,1
239.91015625,1
240.421875,1
240.92578125,1
241.41796875,1
241.8984375,1
242.3828125,1
242.8984375,1
243.51171875,129
244.203125,129
244.90234375,129
245.73828125,129
246.55859375,129
247.34765625,129
248.19921875,129
248.9921875,129
249.734375,129
250.40234375,1
250.9765625,129
251.59765625,1
251.875,129
252.50390625,1
253.61328125,129
254.2421875,1
254.8359375,1
255.453125,1
256.26953125,1
256.81640625,129
257.27734375,129
257.6875,129
257.96875,129
258.8671875,129
259.30859375,129
259.6328125,129
260.09765625,129
260.56640625,1
261.0,1
261.87890625,129
262.296875,1
262.77734375,1
263.21875,1
263.65625,1
264.09375,1
264.53515625,1
264.98828125,1
265.4375,1
265.890625,1
266.75,129
267.02734375,129
267.51171875,1
268.19140625,129
269.06640625,129
269.8671875,129
270.171875,129
270.7109375,129
271.00390625,129
271.53125,1
272.015625,1
272.5390625,1
273.125,1
273.67578125,1
274.2421875,1
275.20703125,129
275.7265625,1
276.265625,1
277.44921875,129
278.21875,129
278.953125,129
279.4453125,1
279.9296875,1
280.41015625,1
281.48828125,129
282.16796875,129
282.8046875,129
283.2421875,1
283.8203125,1
285.75,129
286.09765625,129
286.5703125,1
287.66796875,129
288.375,129
288.78125,129
289.421875,1
289.953125,1
290.55859375,1
291.01953125,129
291.54296875,129
292.078125,1
293.1796875,129
293.44140625,129
293.7578125,129
294.58984375,129
295.578125,129
296.22265625,129
296.65234375,1
297.08203125,1
297.5859375,1
298.5703125,129
298.98828125,1
299.5703125,129
300.06640625,1
301.0390625,129
301.88671875,1
302.27734375,1
302.734375,1
303.82421875,129
304.21875,1
304.57421875,129
305.68359375,129
306.140625,1
307.0703125,129
307.3984375,129
308.04296875,1
308.37890625,1
310.3984375,129
311.953125,129
312.47265625,129
313.1640625,129
313.7734375,129
314.64453125,129
315.0546875,1
316.58203125,129
317.69140625,129
317.9765625,129
318.50390625,1
319.21484375,1
320.06640625,1
320.734375,1
321.171875,129
321.65625,1
322.17578125,1
322.515625,129
322.88671875,129
323.38671875,1
323.796875,129
324.1484375,129
324.48046875,129
324.94921875,1
325.64453125,129
326.08984375,1
326.61328125,1
327.16796875,1
328.18359375,129
328.515625,1
328.9921875,1
329.47265625,1
329.984375,1
330.94921875,129
331.22265625,129
331.4765625,129
332.26171875,129
333.0078125,129
333.5234375,1
333.7890625,129
334.41796875,129
335.04296875,129
335.55859375,1
336.2734375,129
336.8046875,1
337.6953125,129
338.24609375,1
338.90234375,1
339.64453125,1
340.4296875,1
341.60546875,129
342.12109375,1
342.9765625,129
343.4921875,1
343.8515625,129
344.4375,1
345.05078125,1
345.5625,1
346.12109375,1
346.6796875,1
347.23828125,1
347.7265625,1
348.30078125,1
348.7734375,1
349.26953125,1
349.76171875,1
350.24609375,1
350.7109375,1
351.3359375,129
351.9140625,1
352.48046875,1
353.05078125,1
353.6171875,1
354.171875,1
354.72265625,1
355.265625,1
355.80078125,1
356.33203125,1
356.85546875,1
357.36328125,1
357.875,1
358.12890625,129
358.40234375,129
358.9453125,1
359.50390625,1
360.13671875,1
360.46875,129
360.95703125,1
361.65625,129
362.171875,1
362.80078125,129
363.41796875,129
364.0390625,129
364.6484375,1
365.2421875,1
365.8125,1
366.37890625,1
366.94140625,1
367.48828125,1
368.01953125,1
368.5390625,1
369.046875,1
369.546875,1
370.046875,1
370.54296875,1
371.04296875,1
371.55859375,1
372.08203125,1
372.609375,1
373.1484375,1
373.70703125,1
374.26953125,1
374.83984375,1
375.3671875,1
375.875,1
376.37890625,1
376.8984375,1
377.40625,1
377.90625,1
378.3984375,1
378.8828125,1
379.14453125,129
379.828125,129
380.1875,129
380.73046875,1
381.23828125,1
381.90234375,129
382.21875,129
382.69921875,1
383.9765625,129
384.6015625,129
385.1953125,1
385.80859375,129
386.109375,129
386.41015625,129
387.01171875,1
387.6484375,1
388.28125,1
388.74609375,129
389.24609375,129
390.234375,129
390.58203125,129
391.0,129
391.9375,129
392.9140625,129
393.734375,1
394.03125,129
394.30078125,129
395.2421875,1
395.68359375,129
396.09765625,1
396.3984375,129
397.4375,1
397.90625,1
398.3515625,1
398.75,1
399.65234375,129
400.3203125,129
401.4609375,1
