time [s],RR_interval_quality [NA](/api/datatype/1004/)
5.38671875,129
6.0703125,129
6.6015625,129
8.0078125,129
9.2734375,129
9.6796875,129
10.69140625,129
12.26953125,1
13.56640625,1
13.92578125,129
14.99609375,1
15.47265625,129
16.14453125,129
16.52734375,129
16.98828125,129
17.60546875,1
18.44140625,1
19.3671875,129
19.82421875,129
20.31640625,1
21.23828125,1
21.578125,129
22.2109375,1
22.96875,1
23.4375,1
24.796875,129
25.2890625,1
25.85546875,1
27.1796875,129
28.34765625,129
28.8359375,1
29.33203125,1
30.265625,129
30.77734375,1
31.11328125,129
32.08984375,129
32.6015625,1
32.89453125,129
33.44921875,1
35.0625,129
35.4296875,129
36.15625,129
37.2421875,129
38.21484375,129
38.64453125,1
39.49609375,129
40.25,1
41.03515625,1
41.48046875,129
42.58203125,129
43.65625,129
44.16015625,129
44.7109375,129
45.26171875,129
45.94140625,1
46.79296875,1
47.1640625,129
47.54296875,129
48.3515625,1
48.671875,129
49.17578125,129
50.44140625,129
50.78515625,129
51.58984375,1
51.93359375,129
52.86328125,1
54.04296875,129
54.8984375,1
55.25390625,1
56.06640625,1
56.4453125,129
57.06640625,1
57.42578125,1
58.046875,129
58.50390625,129
59.11328125,129
59.78125,129
60.16015625,1
60.421875,129
61.28515625,1
61.91015625,1
62.30078125,129
62.6015625,129
62.85546875,129
63.3515625,129
63.80859375,129
65.21875,129
65.80859375,1
66.13671875,129
66.46484375,1
66.94140625,1
67.34765625,1
67.73046875,1
68.06640625,1
69.16796875,129
70.2109375,129
70.7578125,129
72.046875,129
72.71484375,129
73.11328125,1
74.0546875,129
74.34375,129
75.16015625,129
75.609375,1
76.1953125,129
76.453125,129
76.859375,1
77.33203125,129
78.76953125,1
79.33984375,1
80.30078125,129
81.0546875,129
81.71875,1
83.4375,129
84.23046875,1
85.359375,129
87.17578125,129
88.34765625,129
88.64453125,129
89.95703125,1
90.63671875,1
91.328125,1
91.7890625,129
92.7890625,129
93.3984375,1
94.16796875,1
