time [s],step [Step](/api/datatype/52/)
1.359375,1
1.671875,2
2.734375,3
3.328125,4
4.15625,5
5.375,6
37.578125,7
38.734375,8
39.640625,9
40.03125,10
40.34375,11
41.1875,12
41.578125,13
42.28125,14
42.640625,15
54.96875,16
56.78125,17
57.0625,18
61.40625,19
62.25,20
63.25,21
74.765625,22
88.78125,23
90.84375,24
91.453125,25
91.671875,26
92.0,27
92.5625,28
92.953125,29
93.453125,30
94.359375,31
95.21875,32
95.59375,33
96.9375,34
97.3125,35
97.625,36
97.984375,37
98.203125,38
98.640625,39
99.1875,40
99.40625,41
99.703125,42
100.25,43
100.796875,44
105.578125,45
106.25,46
110.171875,47
110.390625,48
110.734375,49
111.203125,50
124.640625,51
125.125,52
131.21875,53
131.875,54
132.484375,55
133.0,56
133.625,57
134.15625,58
136.28125,59
136.765625,60
137.421875,61
137.8125,62
138.4375,63
138.796875,64
139.359375,65
140.203125,66
141.015625,67
141.390625,68
142.046875,69
142.4375,70
142.9375,71
143.390625,72
184.859375,73
345.1875,74
345.6875,75
346.21875,76
346.734375,77
347.328125,78
347.671875,79
348.28125,80
348.703125,81
349.4375,82
350.03125,83
350.734375,84
351.125,85
352.46875,86
352.6875,87
359.03125,88
359.8125,89
360.234375,90
377.953125,91
379.21875,92
380.09375,93
382.03125,94
382.578125,95
383.25,96
383.625,97
384.265625,98
384.71875,99
385.3125,100
385.53125,101
385.921875,102
386.53125,103
386.921875,104
387.46875,105
387.6875,106
387.96875,107
388.5625,108
388.8125,109
389.171875,110
449.734375,111
474.125,112
475.1875,113
514.890625,114
515.109375,115
604.578125,116
604.796875,117
618.984375,118
630.34375,119
632.609375,120
633.234375,121
633.796875,122
634.453125,123
635.171875,124
653.8125,125
654.5625,126
680.796875,127
681.453125,128
692.359375,129
693.078125,130
693.46875,131
694.8125,132
736.703125,133
737.328125,134
738.515625,135
739.046875,136
739.578125,137
756.25,138
758.28125,139
764.5,140
765.6875,141
766.75,142
767.390625,143
767.8125,144
770.484375,145
771.125,146
772.25,147
772.90625,148
794.03125,149
797.53125,150
803.796875,151
804.375,152
804.859375,153
805.515625,154
805.890625,155
812.9375,156
813.53125,157
814.0625,158
814.703125,159
815.65625,160
821.359375,161
859.53125,162
860.09375,163
871.078125,164
871.671875,165
872.25,166
872.78125,167
873.4375,168
873.84375,169
874.953125,170
875.40625,171
875.953125,172
878.125,173
878.609375,174
879.171875,175
881.34375,176
882.4375,177
882.921875,178
883.5625,179
885.234375,180
887.90625,181
888.578125,182
904.15625,183
906.640625,184
907.34375,185
907.9375,186
908.484375,187
909.109375,188
909.78125,189
916.484375,190
917.109375,191
917.703125,192
918.34375,193
918.921875,194
920.265625,195
921.546875,196
923.109375,197
944.921875,198
945.53125,199
946.796875,200
947.109375,201
979.0625,202
979.515625,203
980.078125,204
980.625,205
981.0,206
981.5,207
981.875,208
982.359375,209
982.828125,210
983.328125,211
983.71875,212
984.28125,213
984.6875,214
985.265625,215
985.640625,216
986.234375,217
986.59375,218
987.125,219
987.5,220
988.0625,221
988.4375,222
988.90625,223
990.21875,224
991.15625,225
993.078125,226
993.6875,227
996.21875,228
996.703125,229
997.28125,230
997.71875,231
998.109375,232
998.5625,233
999.1875,234
999.578125,235
1000.15625,236
1000.53125,237
1001.125,238
1001.453125,239
1002.09375,240
1002.484375,241
1003.0625,242
1003.484375,243
1004.046875,244
1004.46875,245
1005.109375,246
1005.484375,247
1006.078125,248
1006.46875,249
1007.15625,250
1007.515625,251
1008.140625,252
1008.5625,253
1009.21875,254
1009.5625,255
1010.21875,256
1011.234375,257
1011.5625,258
1012.3125,259
1012.578125,260
1013.296875,261
1013.734375,262
1014.8125,263
1015.8125,264
1016.5,265
1016.84375,266
1017.34375,267
1017.84375,268
1018.484375,269
1018.859375,270
1019.484375,271
1019.796875,272
1020.453125,273
1020.890625,274
1021.515625,275
1021.84375,276
1022.5625,277
1022.9375,278
1025.734375,279
1037.578125,280
1038.09375,281
1038.640625,282
1039.15625,283
1039.609375,284
1040.140625,285
1040.546875,286
1041.1875,287
1041.46875,288
1042.140625,289
1043.125,290
1043.515625,291
1044.140625,292
1044.625,293
1045.109375,294
1045.5625,295
1046.0625,296
1046.5,297
1047.03125,298
1047.40625,299
1048.03125,300
1048.4375,301
1049.03125,302
1049.421875,303
1049.984375,304
1050.328125,305
1050.984375,306
1051.390625,307
1052.109375,308
1052.59375,309
1053.15625,310
1053.671875,311
1054.71875,312
1056.4375,313
1057.375,314
1057.828125,315
1058.359375,316
1059.234375,317
1059.59375,318
1060.21875,319
1060.5625,320
1061.203125,321
1062.25,322
1062.546875,323
1063.21875,324
1063.625,325
1064.1875,326
1064.578125,327
1065.140625,328
1065.5625,329
1066.109375,330
1066.640625,331
1067.015625,332
1067.546875,333
1068.0625,334
1068.46875,335
1069.125,336
1069.5625,337
1070.140625,338
1070.6875,339
1071.046875,340
1071.609375,341
1072.265625,342
1072.671875,343
1073.203125,344
1073.65625,345
1074.21875,346
1074.5625,347
1075.25,348
1075.609375,349
1103.25,350
1106.890625,351
1109.53125,352
1109.90625,353
1144.015625,354
1176.90625,355
1177.265625,356
1177.578125,357
1182.65625,358
1187.40625,359
1188.09375,360
1188.671875,361
1190.703125,362
1191.203125,363
1193.625,364
1203.09375,365
1203.578125,366
1204.890625,367
1207.140625,368
1209.796875,369
1210.265625,370
1210.96875,371
1211.53125,372
1212.734375,373
1213.40625,374
1213.796875,375
1214.359375,376
1215.171875,377
1218.859375,378
1219.3125,379
1219.65625,380
1220.1875,381
1220.8125,382
1221.34375,383
1222.90625,384
1223.296875,385
1223.765625,386
1224.875,387
1226.890625,388
1227.28125,389
1228.203125,390
1229.0625,391
1232.46875,392
1234.234375,393
1242.671875,394
1245.96875,395
1272.34375,396
1274.828125,397
1280.75,398
1281.265625,399
1286.953125,400
1290.0,401
1290.421875,402
1297.5625,403
1323.6875,404
1324.578125,405
1325.015625,406
1330.140625,407
1330.515625,408
1330.90625,409
1331.265625,410
1333.515625,411
1333.9375,412
1334.359375,413
1335.5,414
1336.40625,415
1341.34375,416
1353.734375,417
1354.453125,418
1355.171875,419
1358.0625,420
1361.140625,421
1361.78125,422
1362.5625,423
1363.015625,424
1363.671875,425
1364.21875,426
1364.734375,427
1365.21875,428
1365.6875,429
1366.203125,430
1366.65625,431
1367.34375,432
1373.453125,433
1374.03125,434
1374.71875,435
1375.171875,436
1375.59375,437
1376.09375,438
1376.625,439
1377.109375,440
1377.75,441
1378.15625,442
1378.734375,443
1379.140625,444
1379.734375,445
1380.078125,446
1380.703125,447
1381.03125,448
1381.65625,449
1382.171875,450
