time [s],device_position [NA](/api/datatype/269/)
0.0,nan
1.0,6.0
192.0,1.0
208.0,6.0
405.0,1.0
433.0,6.0
482.0,1.0
512.0,6.0
774.0,1.0
787.0,6.0
9189.0,2.0
9403.0,6.0
9825.0,2.0
9838.0,6.0
10887.0,2.0
10918.0,6.0
12082.0,1.0
12091.0,6.0
13862.0,2.0
14156.0,6.0
14170.0,3.0
15240.0,1.0
15261.0,6.0
15322.0,2.0
17589.0,6.0
28966.0,2.0
29031.0,6.0
30847.625,nan
